box_12a_code	box_12b_code	box_12c_code	box_12d_code	box_15_1_state	box_15_2_state	box_1_wages	box_3_social_security_wages	box_4_social_security_tax_withheld	box_5_medicare_wages	box_6_medicare_wages_tax_withheld	box_7_social_security_tips	box_8_allocated_tips	box_10_dependent_care_benefits	box_11_nonqualified_plans	box_12a_value	box_12b_value	box_12c_value	box_12d_value	box_13_statutary_employee	box_13_retirement_plan	box_13_third_part_sick_pay	box_16_1_state_wages	box_17_1_state_income_tax	box_18_1_local_wages	box_19_1_local_income_tax	box_16_2_state_wages	box_17_2_state_income_tax	box_18_2_local_wages	box_19_2_local_income_tax	box_2_federal_tax_withheld	anomaly_consensus	cluster	box_15_1_state
D	G	None	None	SC	WY	227307.14	253960.78	19428.0	248021.4	7192.62	253960.78	248021.4	163	116	4684	271	418	741	0	0	0	106474.05	5724.97	293068.73	37739.04	123905.13	6647.19	205198.9	33449.51	61847.17	False	0	SC
E	None	None	G	RI	ID	160930.94	116643.71	8923.24	164951.77	4783.6	116643.71	164951.77	113	176	3419	789	233	664	1	0	0	73299.77	8324.33	155148.71	30699.29	76984.27	6344.7	140136.08	16895.67	20223.83	False	4	RI
P	D	None	P	AR	MD	105723.96	128468.35	9827.83	125407.89	3636.83	128468.35	125407.89	268	106	8297	116	887	907	0	0	0	48460.8	2712.25	136557.6	19599.11	54150.31	2674.04	113070.63	17494.54	25722.34	False	4	AR
None	H	E	None	TX	MN	71292.15	59800.89	4574.77	65211.43	1891.13	59800.89	65211.43	287	300	4755	685	201	595	0	0	1	36999.45	2903.07	77272.53	11815.19	37030.53	2672.65	63242.6	7283.25	22405.22	False	1	TX
H	D	None	G	OR	NV	216909.95	237832.56	18194.19	154239.35	4472.94	237832.56	154239.35	288	168	6498	550	872	248	0	0	0	100247.44	5328.1	174033.92	34806.47	108382.05	7354.33	248393.44	25397.14	25563.28	False	3	OR
P	P	D	E	NM	NV	171565.48	195325.38	14942.39	137136.03	3976.94	195325.38	137136.03	254	267	8273	147	855	760	1	1	0	89710.41	8349.19	177424.41	32377.12	77995.15	6579.93	201198.4	27278.35	23817.23	False	4	NM
G	P	None	G	OH	IL	116258.2	130552.09	9987.23	116489.02	3378.18	130552.09	116489.02	188	232	6056	889	837	159	0	1	0	59305.58	5362.42	137104.74	14646.55	53827.18	5879.87	142374.27	21553.39	31189.45	False	4	OH
D	E	P	G	AZ	SD	156349.6	179308.7	13717.12	185302.85	5373.78	179308.7	185302.85	188	221	9095	203	345	661	1	0	0	79388.82	7164.11	172977.11	21322.85	76612.49	6103.02	139519.55	19811.98	45743.56	False	2	AZ
None	P	H	D	UT	KS	121112.38	138402.6	10587.8	138220.65	4008.4	138402.6	138220.65	120	287	7648	699	345	965	1	0	0	64431.38	4271.34	85790.1	20203.93	60354.63	4493.5	135556.16	20637.58	19322.26	False	4	UT
None	None	None	G	MS	SC	100260.64	82535.48	6313.96	87831.0	2547.1	82535.48	87831.0	286	242	8089	852	223	561	0	1	0	54280.7	2769.04	99406.72	15401.88	49938.43	3834.78	115260.35	14278.49	26783.0	False	1	MS
None	E	None	None	TN	AZ	170944.19	140082.64	10716.32	190993.64	5538.82	140082.64	190993.64	110	104	8369	163	607	351	1	0	0	87271.87	9616.92	176086.13	29712.95	81677.14	9230.89	188021.98	22520.75	37852.23	False	5	TN
E	None	None	None	HI	LA	207877.62	183622.91	14047.15	224882.91	6521.6	183622.91	224882.91	250	148	7147	722	442	896	0	1	1	107859.46	7319.45	245416.63	41135.35	98721.08	6139.05	168071.01	39708.04	43984.79	False	5	HI
D	E	H	H	IN	KS	144624.36	110544.02	8456.62	153445.67	4449.92	110544.02	153445.67	107	240	4276	339	809	677	0	1	1	69805.79	3234.01	132400.55	17034.21	68903.9	4330.87	149474.46	25042.75	24177.4	False	4	IN
P	None	None	P	OR	HI	180739.42	164727.69	12601.67	178564.23	5178.36	164727.69	178564.23	153	245	4451	934	339	113	0	1	0	94624.88	6115.38	230948.98	20928.96	83912.53	6320.23	168490.32	27432.74	35165.26	False	4	OR
E	H	G	None	OR	TX	249448.9	290904.82	22254.22	275475.68	7988.79	290904.82	275475.68	169	168	1423	636	263	150	0	0	0	134715.8	8098.79	321385.01	44511.03	119947.67	10895.16	280077.28	47051.09	55970.2	False	3	OR
None	None	H	D	ND	GA	230100.75	209625.15	16036.32	236197.63	6849.73	209625.15	236197.63	256	150	4100	165	471	707	1	1	0	103783.08	10230.96	254633.85	34234.91	126388.16	10793.45	209298.71	30119.49	44852.87	False	5	ND
None	G	None	None	ID	NY	245283.17	277243.81	21209.15	230389.1	6681.28	277243.81	230389.1	174	234	2477	700	117	130	0	0	1	125174.97	8108.15	241630.65	28265.36	124971.15	9022.94	215304.42	47269.13	54064.63	False	5	ID
E	None	None	None	VT	OH	236596.39	288367.95	22060.15	190703.92	5530.41	288367.95	190703.92	246	285	1002	573	641	424	0	1	0	123782.65	4292.76	225374.18	47167.28	119895.49	5850.44	230002.5	46404.27	59289.09	False	3	VT
E	None	D	P	OR	VA	85103.52	94817.18	7253.51	89559.24	2597.22	94817.18	89559.24	254	164	3543	229	826	626	0	0	0	42328.93	3992.7	87488.5	11246.29	38489.58	5110.49	98365.32	15868.54	22914.04	False	1	OR
H	E	G	None	FL	AR	57433.28	62528.96	4783.47	74603.17	2163.49	62528.96	74603.17	165	272	9939	704	167	537	0	1	1	27908.97	1973.07	48467.64	7822.87	27142.47	1659.51	65797.05	8392.2	9483.88	False	1	FL
E	D	None	E	VT	AK	63863.19	79220.08	6060.34	71652.39	2077.92	79220.08	71652.39	164	221	8391	320	812	622	0	1	0	31652.42	1766.26	72059.12	9125.64	31481.15	2292.35	56788.92	8729.43	8289.09	False	1	VT
H	P	G	None	RI	UT	178857.05	220535.2	16870.94	133423.46	3869.28	220535.2	133423.46	258	245	3268	362	835	970	1	0	1	82560.03	7476.91	221997.25	30310.54	81185.42	6356.12	222641.11	21734.24	59744.37	False	5	RI
E	H	E	E	ME	KY	126137.91	115084.68	8803.98	126910.54	3680.41	115084.68	126910.54	166	101	4753	679	716	968	0	1	1	58576.77	3499.03	142098.95	15737.19	60533.2	5335.58	104062.13	14601.34	14680.01	False	4	ME
E	E	None	E	SD	DC	52229.12	65099.68	4980.13	62139.78	1802.05	65099.68	62139.78	254	195	3647	986	565	375	1	0	0	25478.12	1926.38	42736.07	8269.61	24056.75	1480.33	46708.65	7963.45	7055.12	False	1	SD
E	G	G	D	IN	IA	45400.8	47524.91	3635.66	57441.41	1665.8	47524.91	57441.41	210	119	9729	642	498	218	0	1	0	24527.97	2267.71	51602.79	5574.34	21286.84	1488.45	45000.35	5786.15	14325.46	False	1	IN
None	None	None	P	KS	VA	137693.86	165621.86	12670.07	116239.02	3370.93	165621.86	116239.02	125	199	5586	359	320	496	1	1	1	64368.3	7498.08	168258.58	27304.5	72418.78	5582.91	141496.67	21968.11	25558.63	False	4	KS
None	None	P	None	UT	NC	57556.06	45202.81	3458.01	55444.1	1607.88	45202.81	55444.1	194	128	6521	304	391	946	0	0	1	28748.75	1656.16	70151.24	8627.8	30594.71	1563.85	59367.4	10359.07	6698.35	False	1	UT
D	G	H	E	IL	CO	200419.85	244829.18	18729.43	198420.69	5754.2	244829.18	198420.69	148	238	4790	820	597	939	0	0	0	92685.79	11041.82	233935.59	25503.41	107271.94	8218.18	204272.68	29601.4	57865.38	True	3	IL
None	D	P	E	ND	DC	81017.27	95142.13	7278.37	81603.72	2366.51	95142.13	81603.72	108	236	1456	736	355	596	0	0	0	37051.97	3145.8	105266.77	9997.97	43791.83	3314.46	98459.8	11234.84	22715.76	False	1	ND
P	None	P	H	MA	MN	126204.09	123655.86	9459.67	152406.79	4419.8	123655.86	152406.79	219	233	9966	284	307	242	0	1	0	66553.66	8190.59	131974.67	13955.55	66754.52	6506.63	104567.25	19328.85	40043.57	False	4	MA
D	E	P	E	IN	GA	248921.4	284280.63	21747.47	267620.02	7760.98	284280.63	267620.02	250	135	2526	309	681	995	0	0	1	121062.93	6034.8	212933.91	34516.05	118021.87	4537.19	207120.17	48533.49	67924.6	True	3	IN
None	None	P	G	MS	IA	213867.99	258430.34	19769.92	228752.96	6633.84	258430.34	228752.96	253	152	5299	713	943	936	0	0	0	106194.83	12018.99	260910.09	32245.98	113744.33	9858.39	236108.6	27130.14	30254.69	True	3	MS
H	E	H	None	WA	AL	66732.16	73575.77	5628.55	48345.22	1402.01	73575.77	48345.22	140	279	2476	209	568	128	0	0	0	33884.76	2131.06	66266.07	7268.57	35452.89	2303.98	79311.26	8862.73	19549.71	False	1	WA
G	None	D	G	DC	CO	55151.93	67588.01	5170.48	50518.06	1465.02	67588.01	50518.06	238	210	8500	489	999	381	0	1	1	28287.19	1608.75	44590.58	6842.08	29750.61	2279.5	57464.5	9061.93	16606.17	False	1	DC
G	E	None	None	NY	NE	73962.45	71439.15	5465.09	56456.91	1637.25	71439.15	56456.91	204	275	3797	222	604	205	1	1	1	33929.01	1773.29	91122.51	12273.52	35756.09	2292.24	81301.63	8602.99	24397.26	False	1	NY
H	None	E	None	UT	KS	116543.93	115313.99	8821.52	120051.72	3481.5	115313.99	120051.72	287	203	5081	720	513	682	0	0	0	55887.58	5400.15	92272.98	19248.15	60791.18	5705.58	83146.44	20509.59	18645.06	False	4	UT
D	D	G	E	MA	IL	76112.98	76142.65	5824.91	61717.56	1789.81	76142.65	61717.56	245	113	8341	676	578	853	0	0	0	34277.8	2823.43	74009.86	9610.67	38712.0	2619.77	60294.32	10539.57	11050.69	False	1	MA
E	G	None	E	WI	SC	150431.38	159455.88	12198.37	155240.96	4501.99	159455.88	155240.96	121	238	6915	250	823	428	0	1	0	78558.02	6713.44	192589.29	19531.12	78607.05	8963.92	151485.99	15920.5	52039.1	False	4	WI
None	None	H	None	DE	NC	122272.62	101379.72	7755.55	94846.12	2750.54	101379.72	94846.12	281	258	3079	217	525	380	0	1	0	60568.78	5487.04	104416.2	14545.31	65253.12	7552.93	94750.7	19058.41	14722.33	False	4	DE
D	None	H	None	GA	ID	186354.2	150400.09	11505.61	157723.55	4573.98	150400.09	157723.55	258	295	6758	987	561	197	0	1	0	101106.33	4681.73	183640.38	18802.53	95517.54	5348.04	148869.54	36891.53	30414.96	False	4	GA
P	H	E	D	DE	CA	88945.16	106691.99	8161.94	101652.62	2947.93	106691.99	101652.62	248	188	8975	198	175	395	0	1	1	47642.82	2636.36	67471.54	15953.5	45628.41	2477.92	97301.93	17341.98	24588.26	False	1	DE
None	None	None	G	MN	MI	82012.35	88934.88	6803.52	68579.97	1988.82	88934.88	68579.97	173	148	1073	309	904	287	0	1	0	42732.96	4182.12	93026.05	8717.24	42568.94	2973.37	87447.2	12782.39	29056.14	False	2	MN
P	H	D	H	MN	NE	84802.25	108563.44	8305.1	101047.52	2930.38	108563.44	101047.52	176	103	5825	132	665	444	0	0	1	45997.65	2757.76	90122.92	15556.48	41384.49	2234.62	80256.38	15958.84	23500.42	False	2	MN
D	E	H	D	MN	WY	220147.49	163239.82	12487.85	164580.46	4772.83	163239.82	164580.46	259	221	2349	341	961	495	0	0	0	108856.53	5007.89	216520.97	38925.57	100062.87	5877.2	189510.86	26453.73	78293.98	False	5	MN
G	H	E	None	UT	ND	124857.5	104371.56	7984.42	91032.57	2639.94	104371.56	91032.57	117	271	7371	414	707	373	0	0	0	59796.55	4571.9	96319.58	16904.47	59947.14	3987.0	132900.25	12579.07	38940.82	False	4	UT
G	G	None	D	WV	IL	99216.52	123203.89	9425.1	79116.61	2294.38	123203.89	79116.61	180	251	5814	631	440	926	1	1	1	52336.8	3547.37	73022.8	13917.86	54130.38	4317.51	110803.76	13050.87	23627.42	False	1	WV
None	None	H	None	CO	AK	187372.8	137300.81	10503.51	207386.69	6014.21	137300.81	207386.69	285	196	1186	607	976	671	1	0	1	102375.33	9589.09	154345.62	23967.97	91011.43	7523.82	134593.53	24955.35	58805.67	False	5	CO
None	H	None	None	NE	MS	82042.88	103895.64	7948.02	70280.68	2038.14	103895.64	70280.68	159	130	6878	960	886	568	0	1	1	37286.45	2306.43	105489.05	11460.91	41523.02	2400.14	105486.63	12221.83	15999.58	False	1	NE
H	None	None	G	IA	AR	145683.62	184607.74	14122.49	129170.8	3745.95	184607.74	129170.8	192	190	3155	926	936	485	0	0	0	73808.41	3654.88	151961.02	27393.23	65729.34	3304.81	140477.77	20044.97	27932.74	False	4	IA
None	D	G	D	WV	LA	218459.38	260843.55	19954.53	239606.16	6948.58	260843.55	239606.16	244	269	8918	738	198	921	0	0	1	112120.44	5960.9	263715.34	37525.31	111344.5	4634.11	201807.86	24720.79	77097.91	True	5	WV
H	None	H	None	IN	NH	112006.97	100243.19	7668.6	136858.45	3968.9	100243.19	136858.45	268	158	2034	882	290	782	0	0	0	60708.97	4593.54	78487.23	16914.71	54357.59	3135.25	87423.6	21997.08	24957.55	False	4	IN
G	G	G	None	CA	CT	114549.78	102297.29	7825.74	121466.36	3522.52	102297.29	121466.36	162	255	4072	329	433	495	0	0	0	61507.6	5605.58	107303.07	16755.16	52290.79	5533.54	145693.34	12975.52	19908.57	False	4	CA
H	E	None	None	MO	SD	70378.22	50337.35	3850.81	53011.26	1537.33	50337.35	53011.26	175	217	8247	142	150	118	1	1	0	34764.57	2900.05	79864.47	8438.31	33110.69	3205.22	67328.47	7103.77	18295.12	False	2	MO
P	None	D	None	WV	MD	93910.96	95133.09	7277.68	98692.13	2862.07	95133.09	98692.13	108	236	6207	958	299	224	1	0	0	46581.24	4798.6	80977.26	15884.33	47415.47	5323.06	99774.45	17175.81	12688.05	False	1	WV
None	None	G	None	ID	LA	168863.33	133242.21	10193.03	213865.35	6202.1	133242.21	213865.35	261	188	2790	674	143	272	1	0	0	83812.82	10692.75	192762.09	17999.38	84621.77	8524.14	141117.97	26018.47	52615.83	False	5	ID
E	None	None	G	TX	NV	227563.36	193656.6	14814.73	264474.9	7669.77	193656.6	264474.9	225	107	9794	710	826	245	0	0	0	105687.31	5538.38	259869.29	33085.31	120143.37	5327.15	163500.16	24846.56	68048.64	False	3	TX
D	None	D	D	PA	OH	207367.82	249520.9	19088.35	200475.72	5813.8	249520.9	200475.72	139	153	3608	275	475	273	0	0	0	95000.7	5727.69	257735.63	40227.01	110804.32	5607.17	147453.14	30820.48	35403.93	False	3	PA
D	None	G	H	OR	HI	123274.69	136520.45	10443.81	86506.71	2508.69	136520.45	86506.71	162	238	7302	422	193	157	0	0	0	65214.79	3914.51	120262.28	21375.9	56581.66	2831.16	147988.53	20938.26	30329.65	False	4	OR
G	D	E	None	MD	VT	76291.51	71993.25	5507.48	75812.65	2198.57	71993.25	75812.65	184	134	9437	317	314	610	0	0	0	39841.74	2015.2	94351.21	9907.99	36823.1	2014.65	67026.26	13510.75	14517.67	False	1	MD
None	D	D	H	VT	NM	162805.19	184235.06	14093.98	121322.24	3518.34	184235.06	121322.24	119	148	5315	640	241	921	0	1	0	88732.15	7477.8	151147.54	26813.43	86586.78	6301.73	200100.36	18330.78	57402.86	False	4	VT
P	P	P	P	IN	MA	59492.2	59024.89	4515.4	44055.57	1277.61	59024.89	44055.57	118	143	2951	981	319	596	0	0	1	31564.72	1276.12	42096.63	6725.91	29440.47	1288.88	49870.06	9831.19	16485.74	False	1	IN
None	P	E	E	CO	TN	177903.56	215093.47	16454.65	178426.01	5174.35	215093.47	178426.01	225	147	8989	687	838	601	0	1	0	84722.54	7264.19	177686.78	29670.31	92378.83	7736.98	171732.12	22259.11	43835.73	False	5	CO
P	D	H	None	WY	LA	67537.62	64627.86	4944.03	59000.23	1711.01	64627.86	59000.23	215	242	5700	959	680	746	0	1	0	36680.23	1481.44	73392.18	13077.3	35676.83	1328.69	83067.9	8231.85	22230.64	False	1	WY
E	H	D	G	NJ	TX	154637.59	112195.52	8582.96	183438.01	5319.7	112195.52	183438.01	219	140	9637	281	344	349	0	1	1	80671.6	4495.42	139595.94	22282.37	73381.61	4735.71	138667.08	20412.95	44507.9	False	4	NJ
P	None	H	D	AZ	SC	228873.22	275843.53	21102.03	288184.4	8357.35	275843.53	288184.4	263	296	9652	661	801	152	0	0	0	105181.69	7169.47	274066.38	33407.09	121632.14	5442.83	217948.04	45553.67	52369.12	False	3	AZ
D	None	P	H	AR	MN	194397.61	187817.43	14368.03	185747.17	5386.67	187817.43	185747.17	234	112	6483	642	167	343	0	0	0	90013.06	8024.85	137080.51	24129.91	95721.76	7074.56	142438.31	33718.08	32727.19	False	3	AR
G	E	H	G	VT	GA	103437.72	105962.82	8106.16	80474.96	2333.77	105962.82	80474.96	159	207	2377	817	139	966	0	0	0	49709.68	3204.58	88192.81	19684.98	50871.69	2245.94	121612.2	15062.93	35832.91	False	1	VT
None	P	G	E	VA	NH	41451.68	52269.24	3998.6	51907.27	1505.31	52269.24	51907.27	293	274	7944	629	828	947	0	0	1	19554.92	1812.08	36733.86	8043.68	22256.42	1370.89	30528.29	7530.24	9660.18	False	1	VA
None	None	P	P	NE	VT	167818.24	208248.75	15931.03	197103.35	5716.0	208248.75	197103.35	225	238	4154	382	652	887	0	0	0	88506.34	5925.77	210998.17	27621.43	76452.39	5641.24	147422.59	20026.34	32320.21	False	3	NE
H	None	D	P	KY	MT	166229.01	172391.24	13187.93	154209.15	4472.07	172391.24	154209.15	113	145	3574	992	282	181	1	0	1	74891.48	5843.26	175158.25	17102.07	83160.75	5107.8	138694.13	29222.12	50372.75	False	0	KY
None	None	E	None	IL	HI	86879.95	102772.14	7862.07	98853.02	2866.74	102772.14	98853.02	139	285	5626	118	555	925	0	0	0	41359.49	5367.99	105988.86	12533.95	41347.11	4500.09	105762.84	11988.4	27984.13	False	1	IL
P	None	P	None	NY	IL	220131.77	273053.53	20888.6	212687.97	6167.95	273053.53	212687.97	105	173	8603	539	771	654	0	1	0	104626.29	7711.69	197000.15	30850.01	103658.07	6158.45	253955.62	41406.4	35390.32	True	3	NY
E	P	None	H	MI	ID	60424.2	63458.38	4854.57	48790.52	1414.93	63458.38	48790.52	190	280	8079	524	903	478	1	0	0	32511.51	1945.19	57487.15	11376.47	30587.3	3011.05	54699.16	6599.05	18467.98	False	1	MI
H	None	None	None	WV	LA	88706.81	84318.25	6450.35	98005.83	2842.17	84318.25	98005.83	181	203	8294	396	502	232	0	0	0	42681.99	3694.26	102162.47	10647.95	47345.99	4501.42	98236.57	16993.51	23231.06	False	1	WV
D	None	None	D	RI	SD	158476.86	137956.35	10553.66	127155.64	3687.51	137956.35	127155.64	264	211	6491	436	326	834	0	1	0	76119.37	6541.95	150315.03	18445.07	77115.88	6731.61	194221.81	29558.93	45638.54	False	2	RI
H	E	None	None	IA	KY	220583.46	159059.75	12168.07	174931.21	5073.01	159059.75	174931.21	255	141	4520	822	344	563	1	1	1	114222.81	4431.69	255791.04	30200.25	109379.34	4408.18	229157.68	35330.52	61533.52	False	5	IA
H	None	P	D	KS	VA	240979.53	266318.95	20373.4	278074.77	8064.17	266318.95	278074.77	124	219	7468	771	984	798	0	0	1	114924.61	11333.65	178070.72	31076.93	108780.94	10156.84	201718.52	42892.39	41653.81	True	3	KS
None	None	None	None	NV	WV	134106.06	112280.91	8589.49	147313.18	4272.08	112280.91	147313.18	189	212	3612	238	315	588	0	0	0	68438.12	4077.44	125275.72	14350.99	70189.69	4611.22	98852.76	25836.63	34120.31	False	4	NV
None	None	None	G	LA	NH	118677.77	110786.57	8475.17	120653.47	3498.95	110786.57	120653.47	143	139	8619	457	496	359	0	1	0	60211.76	3469.71	83159.83	22294.11	55752.36	4090.21	143917.39	22740.86	26482.24	False	4	LA
H	G	D	None	WV	CO	214634.22	172178.52	13171.66	227434.72	6595.61	172178.52	227434.72	196	233	5524	545	690	634	0	0	1	112449.96	4590.3	257765.59	22716.69	108092.51	3775.92	233831.2	34595.12	69691.18	False	5	WV
None	H	G	E	NE	CO	97438.49	97511.04	7459.59	116378.33	3374.97	97511.04	116378.33	236	100	5831	717	961	385	0	0	0	50523.64	4874.6	73137.84	16144.01	51141.95	3796.79	101800.96	13481.24	23330.39	False	1	NE
P	E	E	None	HI	WI	90898.42	113243.68	8663.14	89203.44	2586.9	113243.68	89203.44	142	266	5538	583	910	333	0	1	1	49169.28	4065.49	65104.62	11388.24	44812.85	3519.93	83374.16	11875.0	23670.29	False	1	HI
P	None	None	H	MT	AR	181451.23	192047.72	14691.65	137619.24	3990.96	192047.72	137619.24	193	175	8510	951	935	963	0	1	0	96159.55	4660.82	220273.81	34155.96	93628.89	7522.39	183429.17	33128.58	41565.05	False	3	MT
G	None	E	E	AK	SD	188323.15	205225.15	15699.72	206286.53	5982.31	205225.15	206286.53	252	221	2826	811	144	145	1	1	1	100655.45	4025.76	160578.16	23398.08	92558.98	3668.17	140265.54	28618.56	63252.81	False	2	AK
None	None	None	None	AZ	LA	61659.5	72760.29	5566.16	73003.34	2117.1	72760.29	73003.34	117	207	2332	107	475	330	1	0	0	29339.51	1395.74	69357.25	10950.72	31023.42	1136.71	46834.8	6866.87	10671.66	False	1	AZ
E	P	P	H	WA	CO	158716.91	199163.02	15235.97	111323.95	3228.39	199163.02	111323.95	283	181	8810	517	244	801	0	0	0	85120.21	2599.37	126953.1	30529.96	71693.83	3070.34	161285.91	27900.1	25877.26	False	4	WA
G	None	None	None	AZ	NH	84326.23	108035.93	8264.75	70841.07	2054.39	108035.93	70841.07	143	108	3694	882	116	375	0	0	0	45180.12	4252.71	86235.56	12415.7	43946.36	3959.2	108631.57	10321.95	23246.7	False	1	AZ
P	E	G	None	MT	TN	108101.3	95436.55	7300.9	78567.29	2278.45	95436.55	78567.29	294	237	1538	193	792	824	0	0	0	57121.12	3146.58	106410.8	13225.01	48875.9	4628.23	75929.23	17347.05	36601.35	False	1	MT
None	G	P	None	TN	AR	201877.2	159044.75	12166.92	158938.31	4609.21	159044.75	158938.31	300	215	8781	289	426	771	0	0	0	97012.68	12647.35	246396.83	38576.89	100118.5	12738.28	163543.01	36495.12	58804.48	False	5	TN
None	None	None	None	IA	NY	201315.72	253546.63	19396.32	223329.92	6476.57	253546.63	223329.92	110	105	8405	405	100	191	0	1	1	96532.9	8202.57	233623.77	22776.3	91999.73	11164.97	195370.99	30523.49	62320.25	False	5	IA
D	None	G	G	PA	TN	241007.48	224603.27	17182.15	254853.37	7390.75	224603.27	254853.37	252	148	8264	287	101	818	1	1	0	112595.1	11186.69	297527.27	38025.91	117889.19	12780.0	230623.52	32794.38	59699.41	True	3	PA
None	G	H	None	OH	MO	48895.23	49441.14	3782.25	57005.37	1653.16	49441.14	57005.37	192	168	7061	987	670	406	1	1	1	26242.65	2008.55	37971.15	7348.79	24039.04	1620.19	38400.33	5111.58	6403.87	False	1	OH
None	G	P	G	NH	VA	144525.75	110486.81	8452.24	172599.91	5005.4	110486.81	172599.91	234	223	3452	436	149	716	0	0	0	67513.69	5694.9	118933.73	26266.97	73685.18	5211.3	129175.36	25949.64	50360.95	False	4	NH
H	E	H	P	TN	OK	152847.07	159527.84	12203.88	180342.11	5229.92	159527.84	180342.11	264	258	5557	122	623	805	0	0	1	71584.55	5932.62	137270.96	29625.05	73334.83	4516.03	127772.22	23622.19	42559.77	False	4	TN
E	P	D	None	OR	MS	232912.41	291772.78	22320.62	200632.21	5818.33	291772.78	200632.21	149	282	2700	320	866	753	1	0	1	105096.17	8683.88	218597.29	45317.29	120367.57	9814.02	181666.9	39311.27	62133.29	False	3	OR
H	D	None	H	MA	MA	44288.87	39080.06	2989.62	44229.67	1282.66	39080.06	44229.67	296	198	5397	105	775	433	0	0	0	21984.13	2791.69	48204.81	4826.02	23626.37	1958.86	50117.69	8824.79	12541.48	False	1	MA
None	E	H	None	MS	DC	202529.63	153551.94	11746.72	212413.22	6159.98	153551.94	212413.22	171	281	1203	797	318	474	0	0	0	105325.68	4956.63	178679.61	26292.59	105609.99	5380.92	148542.49	32008.06	63677.85	False	5	MS
None	P	H	None	DC	NH	94643.48	99051.16	7577.41	70731.33	2051.21	99051.16	70731.33	271	192	3321	356	949	171	1	0	0	50145.62	2344.92	115154.86	16860.11	48629.08	1776.2	92028.04	18662.28	33283.32	False	1	DC
H	None	P	D	GA	AL	88536.86	77988.84	5966.15	98645.26	2860.71	77988.84	98645.26	165	237	4393	851	352	430	0	0	0	48681.06	2169.71	94582.11	12356.06	42967.99	1759.91	109119.12	16485.54	29209.75	False	1	GA
G	P	P	None	TN	RI	119094.47	93345.95	7140.97	104621.76	3034.03	93345.95	104621.76	137	109	1166	579	381	480	0	0	0	63044.67	4215.42	154210.12	23750.0	55115.43	3930.33	149716.09	15167.31	28263.54	False	4	TN
None	D	None	H	NV	VA	65738.93	50508.91	3863.93	78015.18	2262.44	50508.91	78015.18	118	169	6226	951	100	343	0	1	0	31620.88	2666.97	49836.18	8680.47	31917.3	3729.73	70309.68	6866.55	13948.22	False	1	NV
G	G	None	None	UT	IL	63995.13	50161.38	3837.35	52477.35	1521.84	50161.38	52477.35	110	250	1509	280	784	891	0	0	0	31639.48	3613.97	79912.62	8610.93	31293.71	3809.01	68652.11	11029.85	9114.15	False	1	UT
G	E	None	P	MI	FL	223235.71	197878.51	15137.71	257741.83	7474.51	197878.51	257741.83	234	238	4142	279	676	501	1	0	0	110185.3	9590.89	189801.48	22988.94	122270.87	11339.24	257444.55	25122.25	69131.23	False	3	MI
E	E	None	P	DC	MS	189418.68	210005.37	16065.41	238266.55	6909.73	210005.37	238266.55	241	120	5440	125	191	576	0	0	0	98065.05	4617.89	155895.09	37042.2	103485.6	5511.17	182047.48	26326.42	69628.97	False	3	DC
None	H	P	G	TN	MO	243336.67	264983.46	20271.23	292656.97	8487.05	264983.46	292656.97	184	136	9925	494	662	181	0	1	0	122561.04	8700.51	299575.41	31094.58	113453.11	6146.21	255922.13	33591.58	44537.07	True	3	TN
P	D	G	E	WV	MD	169885.67	190021.54	14536.65	153278.62	4445.08	190021.54	153278.62	159	145	7245	240	578	499	0	0	0	84542.0	2956.77	127685.51	32996.99	93319.1	2998.66	204796.46	20533.09	60316.01	False	4	WV
None	H	P	E	NE	LA	106745.15	85741.75	6559.24	129771.43	3763.37	85741.75	129771.43	114	222	9861	239	470	108	0	1	0	51401.18	2458.43	126348.49	14378.64	54212.48	3355.15	97388.77	20222.18	39324.33	False	1	NE
None	P	H	H	NJ	ND	167149.18	161496.24	12354.46	172922.56	5014.75	161496.24	172922.56	265	219	1881	138	369	661	0	1	1	81149.0	4045.08	193359.1	24396.13	76942.39	3599.16	155048.47	30338.93	51350.83	False	4	NJ
P	D	None	None	IL	NV	169607.87	183511.94	14038.66	167933.7	4870.08	183511.94	167933.7	138	234	8485	408	233	772	1	1	0	76401.16	4607.51	192333.74	33235.97	76972.03	3955.92	133019.25	29755.75	23663.05	False	4	IL
None	G	H	D	DC	WV	245132.16	282399.16	21603.54	197396.94	5724.51	282399.16	197396.94	299	109	5212	370	914	838	0	1	0	128150.52	6982.08	243103.56	41404.75	131143.24	6067.61	308305.65	39027.73	35199.18	True	5	DC
None	P	D	E	DE	TX	90684.48	109704.34	8392.38	76761.31	2226.08	109704.34	76761.31	250	154	6418	899	483	981	0	1	0	43016.21	3154.82	102974.14	11187.86	43681.95	4122.87	65661.78	13861.54	9304.0	False	1	DE
H	P	E	None	MT	FL	241521.05	172605.46	13204.32	263817.03	7650.69	172605.46	263817.03	194	275	3711	783	524	917	1	1	0	120881.3	7127.72	260782.06	24660.16	114997.65	5893.17	206561.83	41968.81	27270.65	True	5	MT
G	None	D	None	ND	MT	50472.9	54233.94	4148.9	36219.93	1050.38	54233.94	36219.93	292	238	4253	495	454	948	0	1	1	26762.99	1710.39	52144.19	7369.85	25107.42	1516.11	38952.99	8589.69	6656.41	False	1	ND
